ItemType	Code	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol	UICategory	RunewordCategory1	RunewordCategory2	Restricted
Any				0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0				
None	none			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0				
Shield	shie	shld		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	3	40	4	0	3			0							armo	0	shlds	r_off		
Armor	tors	armo		1	1	tors	tors			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							armo	0	armor	r_arm		
Gold	gold			0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0				
Bow Quiver	bowq	misl	seco	1	1	rarm	larm		bow	0	1	1	1	1	1	0	0	1	25	2	40	3	0	3			0							misc	0	ammo			
Crossbow Quiver	xboq	misl	seco	1	1	rarm	larm		xbow	0	1	1	1	1	1	0	0	1	25	2	40	3	0	3			0							misc	0	ammo			
Player Body Part	play	misc	merc	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Herb	herb	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0							misc	0				
Potion	poti	misc		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	potis			
Ring	ring	com3	merc	0	1	rrin	lrin			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			6	invrin1	invrin2	invrin3	invrin4	invrin5	invrin6	misc	0	rings			
Elixir	elix	misc		0	0					0	0	0	0			0	1	0	25	0	40	0	0	3			0							misc	0				
Amulet	amul	com3	merc	0	1	neck	neck			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			6	invamu1	invamu2	invamu3	invamu4	invamu5	invamu6	misc	0	amule			
Charm	char	misc		0	0					0	0	0	0		1	1	0	0	25	0	40	0	0	3			6	invch1	invch4	invch7	invch7	invch7	invch7	misc	0	charm			
Not Used				0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0				
Boots	boot	armo	merc	1	1	feet	feet			0	0	0	0		1	0	0	2	25	3	40	4	0	3			0							armo	0	boots	r_arm		
Gloves	glov	armo	merc	1	1	glov	glov			0	0	0	0		1	0	0	2	25	3	40	4	0	3			0							armo	0	glove	r_arm		
Not Used				0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0				
Book	book	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	scrlt			
Belt	belt	armo	merc	1	1	belt	belt			0	0	0	0		1	0	0	1	25	2	40	2	0	3			0							armo	0	belts	r_arm		
Gem	gem	sock		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	gems			
Torch	torc	misc		0	1					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0				
Scroll	scro	misc		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0				
Not Used				0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0				
Scepter	scep	rod	com1	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	1	pal		0							weap	0	scept	r_mel		
Wand	wand	rod	com2	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	2	40	6	0	1	nec		0							weap	0	wands	r_mel		
Staff	staf	rod	com2	1	1	rarm	larm			0	0	0	0		1	0	0	5	25	6	40	6	0	1	sor		0							weap	0	stave	r_mel		
Bow	bow	miss		0	1	rarm	larm	bowq		0	0	0	0		1	0	0	3	25	4	40	6	1	3			0							weap	0	bows	r_mel		
Axe	axe	mele		1	1	rarm	larm			0	0	0	0		1	0	0	4	25	5	40	6	0	3			0							weap	0	axes	r_mel		
Club	club	blun	com1	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0	maces	r_mel		
