Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	ConditionCalc	firstLadderSeason	lastLadderSeason	noAlwaysSpawn	QuestFlag	QuestFlagEx	*eol
Gold			1						gld	1																												0
Jewelry A			1						rin	8	amu	4	jew	2	cm3	2	cm2	2	cm1	2	cmg	2																0
Jewelry B			1						rin	8	amu	4	jew	2	cm3	2	cm2	2	cm1	2	cmg	2																0
Jewelry C			1						rin	8	amu	4	jew	2	cm3	2	cm2	2	cm1	2	cmg	2																0
Chipped Gem			1						gcv	3	gcy	3	gcb	3	gcg	3	gcr	3	gcw	3	skc	2																0
Flawed Gem			1						gfv	3	gfy	3	gfb	3	gfg	3	gfr	3	gfw	3	skf	2																0
Normal Gem			1						gsv	3	gsy	3	gsb	3	gsg	3	gsr	3	gsw	3	sku	2																0
Flawless Gem			1						gzv	3	gly	3	glb	3	glg	3	glr	3	glw	3	skl	2																0
Perfect Gem			1						gpv	3	gpy	3	gpb	3	gpg	3	gpr	3	gpw	3	skz	2																0
Ammo			1					99	aqv	2	cqv	2	fms	1																								0
Misc 0			1					99	key	3	tsc	3	isc	3	opl	2	gpl	2	opm	1																		0
Misc 1			1					99	key	3	tsc	3	isc	3	opm	1	gpm	2																				0
Misc 2			1					99	key	6	tsc	6	isc	6	ops	4	gps	4	opm	1																		0
Hpotion 1			1					20	hp1	8	hp2	3	mp1	3	mp2	2	rvs	1																				0
Hpotion 2			1					20	hp1	1	hp2	4	hp3	3	mp2	2	mp3	2	rvs	1																		0
Hpotion 3			1					20	hp2	1	hp3	4	hp4	3	mp3	2	mp4	2	rvs	1																		0
Hpotion 4			1					20	hp3	1	hp4	4	hp5	3	mp4	2	mp5	2	rvs	1																		0
Hpotion 5			1					20	hp3	1	hp4	4	hp5	4	mp5	4	rvs	1																				0
Hpotion 6			1					20	hp4	4	hp5	6	mp4	2	mp5	4	rvs	1																				0
Potion 1			1					20	hp1	12	hp2	4	mp1	5	mp2	4	rvs	1	vps	4																		0
Potion 2			1					50	hp1	4	hp2	8	hp3	5	mp2	2	mp3	5	rvs	1	vps	2	yps	3	wms	1												0
Potion 3			1					50	hp2	6	hp3	6	hp4	4	mp3	3	mp4	3	rvs	1	vps	2	yps	2	wms	1												0
Potion 4			1					50	hp3	6	hp4	6	hp5	4	mp4	3	mp5	3	rvs	1	vps	2	yps	2	wms	1												0
Potion 5			1					50	hp3	4	hp4	6	hp5	6	mp5	5	rvs	1	vps	2	yps	2	wms	1														0
Potion 6			1					50	hp4	6	hp5	8	mp4	1	mp5	5	rvs	1	vps	2	yps	2	wms	1														0
randombox			1						rv1	1	rv2	1	rv3	1	rv4	1	rv5	1																				0
Runes 1			1						a01	3	a02	2	randombox	1																								0
Runes 2			1						a03	3	a04	2	Runes 1	3	randombox	1																						0
