description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
3 El Runes -> Eld Rune	1				100					3	"r01,qty=3"							r02																																																																																							0
3 Eld Runes -> Tir Rune	1				100					3	"r02,qty=3"							r03																																																																																							0
3 Tir Runes -> Nef Rune	1				100					3	"r03,qty=3"							r04																																																																																							0
3 Nef Runes -> Eth Rune	1				100					3	"r04,qty=3"							r05																																																																																							0
3 Eth Runes -> Ith Rune	1				100					3	"r05,qty=3"							r06																																																																																							0
3 Ith Runes -> Tal Rune	1				100					3	"r06,qty=3"							r07																																																																																							0
3 Tal Runes -> Ral Rune	1				100					3	"r07,qty=3"							r08																																																																																							0
3 Ral Runes -> Ort Rune	1				100					3	"r08,qty=3"							r09																																																																																							0
3 Ort Runes -> Thul Rune	1				100					3	"r09,qty=3"							r10																																																																																							0
R01	1				100	18	70	1		1	a01							r01																																																																																							0
R01	1				100	18	70	2		1	a01							r01	255																												r01	255																																																									0
R01	1				100	18	70	3		1	a01							"useitem,qty=1"																													r01	255																												r01	255																												0
R01	1				100	18	70	4		1	a01							"useitem,qty=2"																													r01	255																												r01	255																												0
R01	1				100	18	70	5		1	a01							"useitem,qty=3"																													r01	255																												r01	255																												0
R01	1				100	18	70	6		1	a01							"useitem,qty=4"																													r01	255																												r01	255																												0
R01	1				100	18	70	7		1	a01							"useitem,qty=5"																													r01	255																												r01	255																												0
R01	1				100	18	70	8		1	a01							"useitem,qty=6"																													r01	255																												r01	255																												0
R01	1				100	18	70	9		1	a01							"useitem,qty=7"																													r01	255																												r01	255																												0
R01	1				100	18	70	10		1	a01							"useitem,qty=8"																													r01	255																												r01	255																												0
R01	1				100	18	70	11		1	a01							"useitem,qty=9"																													r01	255																												r01	255																												0
R01	1				100	18	70	12		1	a01							"useitem,qty=10"																													r01	255																												r01	255																												0
R01	1				100	18	70	13		1	a01							"useitem,qty=11"																													r01	255																												r01	255																												0
R01	1				100	18	70	14		1	a01							"useitem,qty=12"																													r01	255																												r01	255																												0
R01	1				100	18	70	15		1	a01							"useitem,qty=13"																													r01	255																												r01	255																												0
R01	1				100	18	70	16		1	a01							"useitem,qty=14"																													r01	255																												r01	255																												0
R01	1				100	18	70	17		1	a01							"useitem,qty=15"																													r01	255																												r01	255																												0
R01	1				100	18	70	18		1	a01							"useitem,qty=16"																													r01	255																												r01	255																												0
R01	1				100	18	70	19		1	a01							"useitem,qty=17"																													r01	255																												r01	255																												0
R01	1				100	18	70	20		1	a01							"useitem,qty=18"																													r01	255																												r01	255																												0
R01	1				100	18	70	21		1	a01							"useitem,qty=19"																													r01	255																												r01	255																												0
R01	1				100	18	70	22		1	a01							"useitem,qty=20"																													r01	255																												r01	255																												0
R01	1				100	18	70	23		1	a01							"useitem,qty=21"																													r01	255																												r01	255																												0
R01	1				100	18	70	24		1	a01							"useitem,qty=22"																													r01	255																												r01	255																												0
R01	1				100	18	70	25		1	a01							"useitem,qty=23"																													r01	255																												r01	255																												0
R01	1				100	18	70	26		1	a01							"useitem,qty=24"																													r01	255																												r01	255																												0
R01	1				100	18	70	27		1	a01							"useitem,qty=25"																													r01	255																												r01	255																												0
R01	1				100	18	70	28		1	a01							"useitem,qty=26"																													r01	255																												r01	255																												0
R01	1				100	18	70	29		1	a01							"useitem,qty=27"																													r01	255																												r01	255																												0
R01	1				100	18	70	30		1	a01							"useitem,qty=28"																													r01	255																												r01	255																												0
R01	1				100	18	70	31		1	a01							"useitem,qty=29"																													r01	255																												r01	255																												0
R01	1				100	18	70	32		1	a01							"useitem,qty=30"																													r01	255																												r01	255																												0
R01	1				100	18	70	33		1	a01							"useitem,qty=31"																													r01	255																												r01	255																												0
R01	1				100	18	70	34		1	a01							"useitem,qty=32"																													r01	255																												r01	255																												0
R01	1				100	18	70	35		1	a01							"useitem,qty=33"																													r01	255																												r01	255																												0
R01	1				100	18	70	36		1	a01							"useitem,qty=34"																													r01	255																												r01	255																												0
R01	1				100	18	70	37		1	a01							"useitem,qty=35"																													r01	255																												r01	255																												0
R01	1				100	18	70	38		1	a01							"useitem,qty=36"																													r01	255																												r01	255																												0
R01	1				100	18	70	39		1	a01							"useitem,qty=37"																													r01	255																												r01	255																												0
R01	1				100	18	70	40		1	a01							"useitem,qty=38"																													r01	255																												r01	255																												0
R01	1				100	18	70	41		1	a01							"useitem,qty=39"																													r01	255																												r01	255																												0
R01	1				100	18	70	42		1	a01							"useitem,qty=40"																													r01	255																												r01	255																												0
R01	1				100	18	70	43		1	a01							"useitem,qty=41"																													r01	255																												r01	255																												0
R01	1				100	18	70	44		1	a01							"useitem,qty=42"																													r01	255																												r01	255																												0
R01	1				100	18	70	45		1	a01							"useitem,qty=43"																													r01	255																												r01	255																												0
R01	1				100	18	70	46		1	a01							"useitem,qty=44"																													r01	255																												r01	255																												0
R01	1				100	18	70	47		1	a01							"useitem,qty=45"																													r01	255																												r01	255																												0
R01	1				100	18	70	48		1	a01							"useitem,qty=46"																													r01	255																												r01	255																												0
R01	1				100	18	70	49		1	a01							"useitem,qty=47"																													r01	255																												r01	255																												0
