Stat	*ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	advdisplay	*eol
strength	0	1		13			1	0	10			1	1		125	55		7	32	12	32																67	19		ModStr1a	ModStr1a		1	19		Moditem2allattrib	Moditem2allattrib		6		0
energy	1			12			1	0	10			1	1		100	55		7	32	12	32			8			maxmana										61	19		ModStr1d	ModStr1d		1	19		Moditem2allattrib	Moditem2allattrib				0
dexterity	2	1		12			1	0	10			1	1		125	55		7	32	12	32																65	19		ModStr1b	ModStr1b		1	19		Moditem2allattrib	Moditem2allattrib				0
vitality	3			12			1	0	10			1	1		100	55		7	32	12	32			9			maxhp	maxstamina									63	19		ModStr1c	ModStr1c		1	19		Moditem2allattrib	Moditem2allattrib				0
statpts	4			12			1	0	10																																										0
newskills	5			13			1	0	10																																										0
hitpoints	6			32			1	0	21								8													1	maxhp																				0
maxhp	7			32			1	0	21		1	1	1		56	20	8	8	32	32	32																59	19		ModStr1u	ModStr1u										0
mana	8			32			1	0	21								8						1							1	maxmana																				0
maxmana	9			32			1	0	21		1	1	0		81	20	8	8	32	32	32																55	19		ModStr1e	ModStr1e										0
stamina	10			32			1	0	21								8						1							1	maxstamina																				0
maxstamina	11			32			1	0	21		1	1	0		75	20	8	8	32	32	32																51	19		ModStr5d	ModStr5d										0
level	12			12			1	0	11																																										0
experience	13			32			1	0	32																																										0
gold	14			32			1	0	25																																										0
goldbank	15			32			1	0	25																																										0
item_armor_percent	16		1	16											47	20		9	0	15	1000			13			armorclass										74	19		Modstr2v	Modstr2v										0
item_maxdamage_percent	17		1	16											45	20		9	0	15	1000			13			maxdamage	secondary_maxdamage	item_throw_maxdamage			1					129	19		ModStr2j	ModStr2j										0
item_mindamage_percent	18		1	16											45	20		9	0	15	1000			13			mindamage	secondary_mindamage	item_throw_mindamage			1					130	19		ModStr2k	ModStr2k										0
tohit	19		1	18											15	10		10		12												1					115	19		ModStr1h	ModStr1h										0
toblock	20		1	12											89	204		6	0	8	0																134	19		ModStr3g	ModStr3g										0
mindamage	21		1	16											122	25		6	0	15	900											1					127	19		ModStr1g	ModStr1g										0
maxdamage	22		1	16											94	16		7	0	15	900											1					126	19		ModStr1f	ModStr1f										0
secondary_mindamage	23		1	16											97	15		6	0	15	900											1					124	19		ModStr1g	ModStr1g										0
secondary_maxdamage	24		1	16											85	11		7	0	15	900											1					123	19		ModStr1f	ModStr1f										0
damagepercent	25		1	16											45	40		8	0	15	1000											1					88	19		strModEnhancedDamage	strModEnhancedDamage										0
manarecovery	26																	8	0	11	900																														0
manarecoverybonus	27		1	20											97	15		6	0	19	900																52	19		ModStr4g	ModStr4g									2	0
staminarecoverybonus	28		1	20											97	15		6	0	19	900																48	19		ModStr3v	ModStr3v									2	0
lastexp	29			32																																															0
nextexp	30			32																																															0
