name	type	type2	code	alternategfx	namestr	version	compactsave	rarity	spawnable	DropConditionCalc	Transmogrify	TMogType	TMogMin	TMogMax	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	magic lvl	auto prefix	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	*comment	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	UICatOverride	diablocloneweight	AdvancedStashStackable
Hand Axe	axe	axe1	hax	hax	hax	0		3	1		0	xxx			3	6									100				28		3	0	0	170	752			hax	9ha	7ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	0	0	3		1		1	1	1	1			255					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	2	2	0	axe	2ax	1	0			
Axe	axe	axe1	axe	axe	axe	0		4	1		0	xxx			4	11							1	10	100		32		24		7	0	0	403	1470			axe	9ax	7ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	2	2	0	2ax	mpi	1	0			
Double Axe	axe	axe1	2ax	axe	2ax	0		4	1		0	xxx			5	13							1	10	100		43		24		13	0	0	873	3392			2ax	92a	72a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255			1	1	30					255	1	1		1	20					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	mpi	wax	1	0			
Military Pick	axe	axe1	mpi	axe	mpi	0		4	1		0	xxx			7	11							1	-10	100		49	33	26		19	0	0	1421	6500			mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255		1		1	20					255					255	1	1		1	20					255					255					255					255					255			1	1	20					255					255					255					255	2	2	0	wax	xxx	1	0			
War Axe	axe	axe1	wax	hax	wax	0		4	1		0	xxx			10	18							2		100		67		26		25	0	0	2123	11346			wax	9wa	7wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	3	20					255	1	1	1	1	20					255					255	2	2	0	xxx	xxx	1	0			
Large Axe	axe	axe2	lax	lax	lax	0		4	1		0	xxx						1	6	13			1	-10	100		35		30		6	0	0	354	1271			lax	9la	7la	stf	stf	5	2hsl	2	3					flplax	invlax			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	2	2	0	btx	gax	1	0			
Broad Axe 	axe	axe2	bax	lax	bax	0		4	1		0	xxx						1	10	18			1		100		48		35		12	0	0	806	3029			bax	9ba	7ba	stf	stf	5	2hsl	2	3					flpbrx	invbrx			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255	1	1	1	1	20					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	2	2	0	gax	gix	1	0			
Battle Axe	axe	axe2	btx	btx	btx	0		4	1		0	xxx						1	12	32			1	10	100		54		40		17	0	0	1262	5409			btx	9bt	7bt	stf	stf	5	2hsl	2	3					flpbtx	invbtx	invbtxu	invbtxu	1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255	1	1		1	20					255					255					255					255					255					255					255					255					255					255	5	2	0	gix	xxx	1	0			
Great Axe	axe	axe2	gax	btx	gax	0		4	1		0	xxx						1	9	30			2	-10	100		63	39	50		23	0	0	1916	9678			gax	9ga	7ga	stf	stf	5	2hsl	2	4					flpgax	invgax	invgaxu	invgaxu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0			
Giant Axe	axe	axe2	gix	gix	gix	0		4	1		0	xxx						1	22	45			3	10	100		70		50		27	0	0	2410	13512			gix	9gi	7gi	stf	stf	5	2hsl	2	3					flpgix	invgix			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255		1			20					255				1	1					255					255					255	1	1	2	2	20					255	1	1	1	1	20					255					255	2	2	0	xxx	xxx	1	0			
Wand	wand		wnd	wnd	wnd	0		1	1		0	xxx			2	4									100				15		2	0	0	205	652	1		wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd	invwndu	invwndu	1	1	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255	4	6	7	9	1					255					255			1	2	1					255					255					1					255					255					255					20					255					255					255					255	5	8	0	ywn	bwn	1	0			
Yew Wand	wand		ywn	ywn	ywn	0		1	1		0	xxx			2	8								10	100				15		12	0	0	745	2907	1		ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn			1	1	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255	1	2	1	1	1					255					255	3	5	5	9	1					255					255	2	3	2	3	1					255					255					255					20				1	20					255					255					255	5	8	0	bwn	gwn	1	0			
Bone Wand	wand		bwn	bwn	bwn	0		1	1		0	xxx			3	7								-20	100				15		18	0	0	1296	5805	1		bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255	1	3	1	3	1					255					255	3	5	5	7	1					255					255					255					20	3	4	2	3	20					255					255	3	4	2	3	20	1	2	0	xxx	xxx	1	0			
Grim Wand	wand		gwn	bwn	gwn	0		1	1		0	xxx			5	11									100				15		26	0	0	2098	11675	1		gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255										255					255	1	2		1	1					255					255					255					20	1	3	1	2	20					255					255	1	3	1	2	20	1	2	0	xxx	xxx	1	0			
Club	club		clb	clb	clb	0		1	1		0	xxx			1	6								-10	100				24		1	0	0	32	506			clb	9cl	7cl	1hs	1hs	5	club	1	3					flpclb	invclb	invclbu	invclbu	1	2	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	0	mac	mst	1	0			
Scepter	scep		scp	mac	scp	0		2	1		0	xxx			6	11									100		25		50		3	0	0	350	842			scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	2	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255	2	4	2	4	1					255					255	2	3	3	5	1					255					255		1		1	1					255					255					255					20					255					255					255					20	2	2	0	gsc	wsp	1	0			
Grand Scepter	scep		gsc	mac	gsc	0		4	1		0	xxx			8	18							1	10	100		37		60		15	0	0	1109	4439			gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255	1	3	1	3	1					255					255	3	5	3	5	1					255					255					255					20	1	2	1	1	20					255					255	2	3	1	2	20	2	2	0	xxx	wsp	1	0			
